gene_key	entrez_gene_id	go_terms	go_bp	go_mf	go_cc
946830	946830	GO:0000987;GO:0003677;GO:0003700;GO:0006355;GO:0098531	GO:0006355	GO:0000987;GO:0003677;GO:0003700;GO:0098531	
948829	948829	GO:0004750;GO:0005829;GO:0005975;GO:0009052;GO:0016853;GO:0016857;GO:0046872	GO:0005975;GO:0009052	GO:0004750;GO:0016853;GO:0016857;GO:0046872	GO:0005829
948831	948831	GO:0005737;GO:0008643;GO:0009401;GO:0015795;GO:0016301;GO:0016740;GO:0090585;GO:1902495	GO:0008643;GO:0009401;GO:0015795	GO:0016301;GO:0016740;GO:0090585	GO:0005737;GO:1902495
5061532	5061532				
948834	948834				
946849	946849	GO:0005886;GO:0008643;GO:0009401;GO:0015577;GO:0015795;GO:0015796;GO:0016020;GO:1902495	GO:0008643;GO:0009401;GO:0015795;GO:0015796	GO:0015577	GO:0005886;GO:0016020;GO:1902495
1450295	1450295	GO:0005737;GO:0008643;GO:0008982;GO:0009401;GO:0015795;GO:0016301;GO:0016740;GO:1902495	GO:0008643;GO:0009401;GO:0015795	GO:0008982;GO:0016301;GO:0016740	GO:0005737;GO:1902495
948840	948840	GO:0004177;GO:0006508;GO:0008233;GO:0008237;GO:0016787;GO:0046872;GO:0070006	GO:0006508	GO:0004177;GO:0008233;GO:0008237;GO:0016787;GO:0046872;GO:0070006	
946851	946851	GO:0008168;GO:0016020		GO:0008168	GO:0016020
949059	949059	GO:0005515;GO:0016740;GO:0016746;GO:0016747		GO:0005515;GO:0016740;GO:0016746;GO:0016747	
1450297	1450297	GO:0005515;GO:0044547		GO:0005515;GO:0044547	
63925667	63925667				
948835	948835	GO:0001681;GO:0006054;GO:0016787;GO:0016788;GO:0019752;GO:0042597;GO:0052689	GO:0006054;GO:0019752	GO:0001681;GO:0016787;GO:0016788;GO:0052689	GO:0042597
949106	949106	GO:0016853;GO:0016857;GO:0019262;GO:0030288;GO:0042597;GO:0042803	GO:0019262	GO:0016853;GO:0016857;GO:0042803	GO:0030288;GO:0042597
946843	946843	GO:0006811;GO:0009279;GO:0015136;GO:0015288;GO:0015478;GO:0015739;GO:0015772;GO:0046930;GO:0055085	GO:0006811;GO:0015739;GO:0015772;GO:0055085	GO:0015136;GO:0015288;GO:0015478	GO:0009279;GO:0046930
948832	948832	GO:0003677;GO:0006310;GO:0006974;GO:0007059;GO:0009037;GO:0015074;GO:0043565;GO:0048476;GO:0071139	GO:0006310;GO:0006974;GO:0007059;GO:0015074;GO:0071139	GO:0003677;GO:0009037;GO:0043565	GO:0048476
