aspect,go_id,count
BP,GO:0009098,8
BP,GO:0006605,8
BP,GO:0019363,8
BP,GO:0097532,8
BP,GO:0006097,8
BP,GO:0006166,8
BP,GO:0015891,8
BP,GO:0015889,8
BP,GO:0009266,8
BP,GO:0051603,8
BP,GO:0042450,8
BP,GO:0016036,8
BP,GO:1903785,8
BP,GO:0008616,8
BP,GO:0030163,8
BP,GO:0006269,8
BP,GO:0031640,8
BP,GO:0071470,8
BP,GO:0009239,8
BP,GO:0009236,8
BP,GO:0042274,8
BP,GO:0015764,8
BP,GO:0006829,8
BP,GO:0042594,8
BP,GO:1903711,8
BP,GO:0006413,8
BP,GO:0035351,8
BP,GO:0019740,8
BP,GO:0044011,8
BP,GO:0015834,8
BP,GO:0030001,8
BP,GO:0006972,8
BP,GO:0019698,8
BP,GO:0045947,8
BP,GO:0030244,8
BP,GO:0035429,8
BP,GO:0042777,8
BP,GO:0019700,8
BP,GO:0071422,7
BP,GO:0043335,7
BP,GO:0019288,7
BP,GO:0044205,7
BP,GO:0030490,7
BP,GO:0008615,7
BP,GO:0019323,7
BP,GO:0015823,7
BP,GO:0043039,7
BP,GO:0051205,7
BP,GO:0008610,7
BP,GO:0030308,7
BP,GO:0075713,7
BP,GO:0044826,7
BP,GO:0032359,7
BP,GO:0042884,7
BP,GO:0015803,7
BP,GO:1901642,7
BP,GO:0016998,7
BP,GO:0015685,7
BP,GO:0032297,7
BP,GO:0033499,7
BP,GO:0002143,7
BP,GO:0016485,7
BP,GO:1902358,7
BP,GO:0006265,7
BP,GO:0015768,7
BP,GO:0019301,7
BP,GO:0006527,7
BP,GO:0051090,7
BP,GO:0042840,7
BP,GO:1990145,7
BP,GO:0009243,7
BP,GO:0015757,7
BP,GO:0120010,7
BP,GO:0070689,7
BP,GO:0089718,7
BP,GO:0000103,7
BP,GO:0015795,7
BP,GO:0099048,7
BP,GO:0006004,7
BP,GO:0019634,7
BP,GO:0009088,6
BP,GO:0031555,6
BP,GO:0006566,6
BP,GO:0051453,6
BP,GO:0006465,6
BP,GO:0016114,6
BP,GO:0033539,6
BP,GO:0051454,6
BP,GO:0031119,6
BP,GO:0006886,6
BP,GO:0006289,6
BP,GO:0008295,6
BP,GO:0015940,6
BP,GO:0006276,6
BP,GO:0042780,6
BP,GO:0006515,6
BP,GO:0033554,6
BP,GO:1902475,6
BP,GO:0006353,6
BP,GO:0030261,6
BP,GO:1902601,6
BP,GO:0060003,6
BP,GO:0009268,6
BP,GO:0046296,6
BP,GO:0044659,6
BP,GO:0006354,6
BP,GO:0015774,6
BP,GO:0006857,6
BP,GO:0071577,6
BP,GO:0006012,6
BP,GO:0042255,6
BP,GO:0015826,6
BP,GO:0009263,6
BP,GO:0051276,6
BP,GO:0043708,6
BP,GO:0009250,6
BP,GO:0042126,6
BP,GO:0009450,6
BP,GO:0042355,6
BP,GO:0006788,6
BP,GO:0006108,6
BP,GO:0018393,6
BP,GO:0015709,6
BP,GO:0019402,6
BP,GO:0015675,6
BP,GO:0015886,6
BP,GO:0009265,6
BP,GO:0010041,6
BP,GO:0090605,6
BP,GO:0070814,6
BP,GO:0015914,6
BP,GO:0033194,5
BP,GO:1990169,5
BP,GO:0006206,5
BP,GO:0006152,5
BP,GO:0019877,5
BP,GO:0019856,5
BP,GO:0051595,5
BP,GO:0061024,5
BP,GO:0019568,5
BP,GO:0019324,5
BP,GO:0015767,5
BP,GO:1904659,5
BP,GO:1901137,5
BP,GO:0017038,5
BP,GO:0034628,5
BP,GO:0010273,5
BP,GO:0098711,5
BP,GO:0033014,5
BP,GO:0009116,5
BP,GO:0006414,5
BP,GO:0072344,5
BP,GO:0035556,5
BP,GO:0051596,5
BP,GO:0009062,5
BP,GO:0000731,5
BP,GO:0043171,5
BP,GO:0034755,5
BP,GO:0000272,5
BP,GO:1901530,5
BP,GO:0015871,5
BP,GO:0042918,5
BP,GO:0015820,5
BP,GO:0046474,5
BP,GO:0019448,5
BP,GO:0055070,5
BP,GO:0035999,5
BP,GO:0010043,5
BP,GO:0015741,5
BP,GO:0015740,5
BP,GO:0019664,5
BP,GO:0140009,5
BP,GO:0006044,5
BP,GO:0006048,5
BP,GO:0006119,5
BP,GO:1905153,5
BP,GO:0006855,5
BP,GO:0034775,5
BP,GO:0015846,5
BP,GO:0097638,5
BP,GO:0006567,5
BP,GO:0033228,5
BP,GO:0019430,5
BP,GO:0044874,5
BP,GO:0006564,5
BP,GO:0051259,5
BP,GO:0006235,5
BP,GO:0043687,5
BP,GO:0030632,5
BP,GO:0071474,5
BP,GO:0140205,5
BP,GO:0140207,5
BP,GO:0034644,5
BP,GO:0006307,5
BP,GO:0006824,5
BP,GO:0071578,5
BP,GO:0019317,5
BP,GO:1905887,5
BP,GO:0006791,5
BP,GO:0070417,5
BP,GO:0019544,5
BP,GO:0019545,5
BP,GO:0015749,5
BP,GO:0035672,5
BP,GO:1903607,5
BP,GO:1904334,5
BP,GO:0015794,5
BP,GO:0046168,5
BP,GO:0006749,5
BP,GO:0042838,5
BP,GO:0015751,5
BP,GO:0046942,5
BP,GO:1903714,5
BP,GO:0098716,5
BP,GO:0042732,5
BP,GO:0019854,5
BP,GO:0061720,5
BP,GO:1902777,5
BP,GO:0042956,5
BP,GO:0031556,4
BP,GO:0031554,4
BP,GO:0009090,4
BP,GO:0032324,4
BP,GO:0006885,4
BP,GO:0009651,4
BP,GO:0042413,4
BP,GO:0110154,4
BP,GO:0042823,4
BP,GO:0045004,4
BP,GO:0015937,4
BP,GO:0006163,4
BP,GO:0032264,4
BP,GO:0042867,4
BP,GO:0019464,4
BP,GO:0019629,4
BP,GO:0006596,4
BP,GO:0009396,4
BP,GO:0044718,4
BP,GO:0071281,4
BP,GO:0015687,4
BP,GO:1901678,4
BP,GO:1902476,4
BP,GO:0046940,4
BP,GO:2001295,4
BP,GO:0015821,4
BP,GO:1903692,4
BP,GO:0048473,4
BP,GO:0019243,4
BP,GO:0043470,4
BP,GO:0051495,4
BP,GO:0046176,4
BP,GO:0006089,4
BP,GO:0019285,4
BP,GO:0016311,4
BP,GO:0000018,4
BP,GO:0006274,4
BP,GO:0015858,4
BP,GO:0006655,4
BP,GO:0036386,4
BP,GO:0097533,4
BP,GO:0042930,4
BP,GO:0009992,4
BP,GO:0009165,4
BP,GO:0000256,4
BP,GO:0009436,4
BP,GO:0009442,4
BP,GO:0042906,4
BP,GO:0046395,4
BP,GO:0000413,4
BP,GO:0060567,4
